"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 29 10:25:18 CST 2022","Thu Sep 29 10:25:24 CST 2022","5889","case.huaxin","test_voice","TestVoice","","","test_voice1","  输入语音：打开所有空调（可执行命令） "
"passed","Thu Sep 29 10:22:16 CST 2022","Thu Sep 29 10:22:36 CST 2022","20276","case.huaxin","test_channel_one","TestVoice","","","test_login_verification","  测试步骤一：使用密码登录，进入首页，判断是否成功登录 "
"passed","Thu Sep 29 10:22:56 CST 2022","Thu Sep 29 10:23:12 CST 2022","16598","case.huaxin","test_channel_one","TestVoice","","","test_dress_change","  测试步骤四：随机点击地图上的某一点，获取地址栏的文本内容，并和之前的进行比较，若两者不同，则表示用例通过 "
"passed","Thu Sep 29 10:23:12 CST 2022","Thu Sep 29 10:23:24 CST 2022","12095","case.huaxin","test_channel_one","TestVoice","","","test_map_change","  测试步骤五：随机调整地址栏的省市区，截图调整后的地图，并和之前的进行比较，若两者相似度小于0.86，则表示测试通过 "
"passed","Thu Sep 29 10:23:34 CST 2022","Thu Sep 29 10:23:36 CST 2022","2153","case.huaxin","test_channel_one","TestVoice","","","test_remember_password","  测试步骤八：是否记住密码，判断退出登录后，密码框是否存在密码 "
"passed","Thu Sep 29 10:25:36 CST 2022","Thu Sep 29 10:25:42 CST 2022","5835","case.huaxin","test_voice","TestVoice","","","test_voice4","  输入语音：关闭空调（可优化指令） "
"passed","Thu Sep 29 10:27:25 CST 2022","Thu Sep 29 10:27:51 CST 2022","25355","case.huaxin","test_chage_head","TestHead","","","test_replace_picture1","  随机更换系统相册中的头像，第一次更换 "
"passed","Thu Sep 29 10:22:36 CST 2022","Thu Sep 29 10:22:46 CST 2022","10038","case.huaxin","test_channel_one","TestVoice","","","test_add_home","  测试步骤二：从首页点击进入家庭页，执行添加家庭操作，判断家庭的总数是否增加 "
"passed","Thu Sep 29 10:27:51 CST 2022","Thu Sep 29 10:28:14 CST 2022","23295","case.huaxin","test_chage_head","TestHead","","","test_replace_picture2","  随机更换系统相册中的头像，第二次更换 "
"passed","Thu Sep 29 10:28:14 CST 2022","Thu Sep 29 10:28:37 CST 2022","23450","case.huaxin","test_chage_head","TestHead","","","test_replace_picture3","  随机更换系统相册中的头像，第三次更换 "
"passed","Thu Sep 29 10:23:36 CST 2022","Thu Sep 29 10:24:19 CST 2022","42596","case.huaxin","test_channel_one","TestVoice","","","test_verification_code_login","  测试步骤八：使用验证码登录，进入首页，判断是否成功登录 "
"passed","Thu Sep 29 10:22:46 CST 2022","Thu Sep 29 10:22:56 CST 2022","9494","case.huaxin","test_channel_one","TestVoice","","","test_delete_home","  测试步骤三：从首页点击进入家庭页，执行删除家庭操作，判断家庭的总数是否减少 "
"passed","Thu Sep 29 10:23:24 CST 2022","Thu Sep 29 10:23:34 CST 2022","9731","case.huaxin","test_channel_one","TestVoice","","","test_exit_login","  测试步骤七：退出登录，判断是否成功退出 "
"passed","Thu Sep 29 10:25:24 CST 2022","Thu Sep 29 10:25:30 CST 2022","5884","case.huaxin","test_voice","TestVoice","","","test_voice2","  输入语音：打开卧室空调（可执行命令） "
"passed","Thu Sep 29 10:25:30 CST 2022","Thu Sep 29 10:25:36 CST 2022","5755","case.huaxin","test_voice","TestVoice","","","test_voice3","  输入语音：开始空调（无效语音命令） "
