"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"约克智慧家","头像模块/关于约克智慧家模块测试","软件使用条款界面","0","0","1","0","0"
"约克智慧家","语音模块和扫码模块测试","语音模块详细测试3","0","0","1","0","0"
"约克智慧家","冒烟测试","删除家庭","0","0","1","0","0"
"约克智慧家","服务测试页面","常见问题页面","0","0","1","0","0"
"约克智慧家","冒烟测试","地图更改","0","0","1","0","0"
"约克智慧家","语音模块和扫码模块测试","扫码加入家庭","0","1","0","0","0"
"约克智慧家","头像模块/关于约克智慧家模块测试","关于约克智慧家界面","0","0","1","0","0"
"约克智慧家","服务测试页面","保养收费页面","0","0","1","0","0"
"约克智慧家","头像模块/关于约克智慧家模块测试","更换头像1","0","0","1","0","0"
"约克智慧家","服务测试页面","热线电话页面","0","0","1","0","0"
"约克智慧家","头像模块/关于约克智慧家模块测试","注销账号界面","0","0","1","0","0"
"约克智慧家","语音模块和扫码模块测试","语音模块详细测试4","0","0","1","0","0"
"约克智慧家","头像模块/关于约克智慧家模块测试","更换头像2","0","1","0","0","0"
"约克智慧家","语音模块和扫码模块测试","语音模块详细测试2","0","0","1","0","0"
"约克智慧家","冒烟测试","添加家庭","0","0","1","0","0"
"约克智慧家","服务测试页面","意见反馈","0","0","1","0","0"
"约克智慧家","冒烟测试","退出登录","0","0","1","0","0"
"约克智慧家","服务测试页面","服务政策页面","0","0","1","0","0"
"约克智慧家","冒烟测试","地址更改","0","0","1","0","0"
"约克智慧家","冒烟测试","记住密码","0","0","1","0","0"
"约克智慧家","服务测试页面","保外费用页面","0","0","1","0","0"
"约克智慧家","服务测试页面","故障代码","0","0","1","0","0"
"约克智慧家","语音模块和扫码模块测试","语音模块详细测试1","0","0","1","0","0"
"约克智慧家","冒烟测试","密码登录","0","0","1","0","0"
"约克智慧家","头像模块/关于约克智慧家模块测试","更换头像3","0","1","0","0","0"
