[2022-10-18 14:12:24,227][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 14:12:31,266][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 14:12:34,795][set_app.py 47][INFO]: APP关闭！
[2022-10-18 14:17:35,583][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 14:17:47,285][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 14:18:26,508][set_app.py 384][INFO]: 头像更换成功，用例无异常！
[2022-10-18 14:18:31,718][set_app.py 633][INFO]: 退出登录成功，用例无异常！
[2022-10-18 14:18:35,806][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 14:18:38,454][set_app.py 47][INFO]: APP关闭！
[2022-10-18 16:33:53,468][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 16:34:03,301][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 16:34:32,774][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 16:34:35,339][set_app.py 47][INFO]: APP关闭！
[2022-10-18 16:35:10,253][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 16:35:20,612][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 16:36:24,216][set_app.py 384][INFO]: 头像更换成功，用例无异常！
[2022-10-18 16:36:28,754][set_app.py 633][INFO]: 退出登录成功，用例无异常！
[2022-10-18 16:36:32,603][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 16:36:35,103][set_app.py 47][INFO]: APP关闭！
[2022-10-18 16:41:07,570][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 16:41:20,490][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 16:42:25,266][set_app.py 384][INFO]: 头像更换成功，用例无异常！
[2022-10-18 16:42:29,974][set_app.py 633][INFO]: 退出登录成功，用例无异常！
[2022-10-18 16:42:33,495][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 16:42:36,044][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:25:49,848][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:26:00,422][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:27:03,673][set_app.py 392][INFO]: 头像更换成功，用例无异常！
[2022-10-18 17:27:08,090][set_app.py 641][INFO]: 退出登录成功，用例无异常！
[2022-10-18 17:27:11,575][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 17:27:14,123][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:27:43,654][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:27:54,427][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:27:57,915][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:29:09,495][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:29:20,022][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:29:27,356][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:30:13,648][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:30:26,368][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:30:33,993][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:31:38,931][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:31:49,378][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:31:56,928][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:37:43,285][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:37:55,382][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:38:04,024][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:50:25,086][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:50:37,433][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:51:48,682][set_app.py 396][INFO]: 头像更换成功，用例无异常！
[2022-10-18 17:51:54,284][set_app.py 645][INFO]: 退出登录成功，用例无异常！
[2022-10-18 17:51:58,596][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 17:52:01,088][set_app.py 47][INFO]: APP关闭！
[2022-10-18 17:52:41,531][set_app.py 40][INFO]: APP启动并允许所有权限！
[2022-10-18 17:52:52,291][set_app.py 71][INFO]: 使用密码登录成功，用例无异常！
[2022-10-18 17:54:02,140][set_app.py 396][INFO]: 头像更换成功，用例无异常！
[2022-10-18 17:54:06,384][set_app.py 645][INFO]: 退出登录成功，用例无异常！
[2022-10-18 17:54:10,037][set_app.py 101][INFO]: 判断是否记住密码用例通过，无异常！
[2022-10-18 17:54:12,597][set_app.py 47][INFO]: APP关闭！
